Contract_Address,Size,Annotation
0xd588b586d61c826a0e87919b3d1a239206d58bf2,118438,EtherId
0x3f9c0a5773817ffaa5a1061e1e33c1d9c8888dff,116618,Noblebit
0x3589d05a1ec4af9f65b0e5554e645707775ee43c,116536,
0x3589d05a1ec4af9f65b0e5554e645707775ee43c,116536,
0x3589d05a1ec4af9f65b0e5554e645707775ee43c,116536,
0x32776933663b27ebcda98b07c4958ec74c0bafb1,116103,EDD
0xda9c03dfd4d137f926c3cf6953cb951832eb08b2,115644,WarToken
0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,111313," https://decentraland.org/, Collectibles, NFT, LANDProxy, VR"
0x73dd069c299a5d691e9836243bcaec9c8c1d8734,110599,"http://www.bitcoineum.com/, Others, Bitcoineum"
0x7a8f99fcaffb3d94f07ad30feade85e556205599,106415,HumanStandardToken
0x107c4504cd79c5d2696ea0030a8dd4e92601b82e,104055,BLT
0xe99ddae9181957e91b457e4c79a1b577e55a5742,104014,Linkmanagement
0xf2eab3a2034d3f6b63734d2e08262040e3ff7b48,102624,CANDYCoin
0x2402b6fa4785866e8009f90da83d3bef27bb2ed3,101881,
0x94ffb55ce68231c5966ea8dab16a8f066846513f,101505,CentrallyIssuedToken
0xce75e5aa182ee99ea1be60aa13b3f2eed172730e,101107,WizzleInfinityHelper
0x123ab195dd38b1b40510d467a6a359b201af056f,100609,Legolas
0x8e4fbe2673e154fe9399166e03e18f87a5754420,100016,BubbleToneToken
0xf6b6aa0ef0f5edc2c1c5d925477f97eaf66303e7,99643,"https://www.going-gems.com/, Gaming, GoingGems"
0x7e9e431a0b8c4d532c745b1043c7fa29a48d4fba,99036,eosDACToken
0x46b9ad944d1059450da1163511069c718f699d31,98869,"CREDITS, https://credits.com/, Smart Contract"
0xa74476443119a942de498590fe1f2454d7d4ac0d,98465,"GolemNetworkToken, https://golem.network/, Computing"
0xcf0010af06edff540af798d06e866d95cbdc8488,97170,UnicornToken
0xb8327f32127afe37a544c52b628653e222a93bad,96760,WizzleInfinityToken
0xacce88f5a63a5e65db9aa7303720be16b556e751,96524,CoinealToken
0x68e14bb5a45b9681327e16e528084b9d962c1a39,95028,PreCAToken
0x7c2e9b93d19a0d0d55a5515aec5b1422454eb2da,94810,
0x45555629aabfea138ead1c1e5f2ac3cce2add830,92646,
0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,92171,"TokenStore, Dex"
0xf4fe95603881d0e07954fd7605e0e9a916e42c44,91448,WHENToken
0x0651842ee1f973367138cd512709d81bf8a62217,90692,TrackChain
0x8713d26637cf49e1b6b4a7ce57106aabc9325343,90514,CNNToken
0x028f10cb6a8fec9492b7b54ff3fd5eccd9d4fc70,90401,
0xb9feb59b7eb4df1d7ec129a03a15dcf271f0d795,90186,
0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,90102,"Credo, https://bitbounce.com/credo, Email"
0x17f19e0571997aa11b2143b0fad77b70385b9af8,89949,
0x74fd51a98a4a1ecbef8cc43be801cce630e260bd,89826,"https://www.siacashcoin.com/, Storage, SiaCashCoin"
0x0bb04400fae60dc378143a12bf771927e39adf6e,89382,Issuer
0x355a458d555151d3b27f94227960ade1504e526a,88068,TokenERC20
0x01995786f1435743c42b7f2276c496a610b58612,87313,
0x561c7d8fd30d7e555ac86395af1d6ce67d8268e7,87162,
0x01a3f967863ee79f6f1a52021c68d1b6a8925a31,86937,
0x18a672e11d637fffadccc99b152f4895da069601,86779,Rouleth
0xcf1cc6ed5b653def7417e3fa93992c3ffe49139b,85884,BancorQuickConverter
0xe3ffd2c393bf21d062b3eee063bdda2b7d8bef23,81329,
0xd6d62024d82b5bf4fe4a9e214991743d543f1673,81011,SimpleLife
0x491c9a23db85623eed455a8efdd6aba9b911c5df,80180,HeroNodeToken
0xf244176246168f24e3187f7288edbca29267739b,79446,Havven
0xdb455c71c1bc2de4e80ca451184041ef32054001,77731,"JOT, https://jury.online/, Others"
0x5136c98a80811c3f46bdda8b5c4555cfd9f812f0,77515,IndaHashToken
0x9600fbd9dd97407c5230a6fb4ce1a1bce388e894,76461,
0x6ec8a24cabdc339a06a172f8223ea557055adaa5,76197,GNX
0xe6517b766e6ee07f91b517435ed855926bcb1aae,75566,"IDice, iDice_2, Gambling"
0x23352036e911a22cfc692b5e2e196692658aded9,75563,FriendzToken
0x809826cceab68c387726af962713b64cb5cb3cca,75479,NucleusVisionToken
0xb0eb230be288c45e439a0e9eb737686bcf834594,74802,
0x53066cddbc0099eb6c96785d9b3df2aaeede5da3,73531,PNTToken
0xc81774fd1b51bc7e26b2bad562dcdb0a2cbebaf2,73229,Free
0x89dd662cc0651a6f3631a617724525f2ff373b1e,72491,Contribution
0x814d371e4f77bd94079fab6acc91c9c0331b08d9,71341,
0xef68e7c694f40c8202821edf525de3782458639f,71226,"https://loopring.org/en/index.html, Dex, Trading, LoopringToken, https://loopring.org/"
0xd850942ef8811f2a866692a623011bde52a462c1,71063,VEN
0x5b1b5fea1b99d83ad479df0c222f0492385381dd,70540,
0x42f1d3380cc1526eb182343dc3bdd970ce664322,70103,TokenERC20
0xdfc328c19c8de45ac0117f836646378c10e0cda3,70087,SmartRoulette
0x2eb86e8fc520e0f6bb5d9af08f924fe70558ab89,68464,TokenERC20
0xaddba95f769b5d42c02e144102817eab9d00efd3,67627,
0xbb9bc244d798123fde783fcc1c72d3bb8c189413,67611,"https://blog.daohub.org/, DAO"
0x1d462414fe14cf489c7a21cac78509f4bf8cd7c0,66789,CanYaCoin
0xe41d2489571d322189246dafa5ebde1f4699f498,65944,"ZRXToken, Dex, https://0x.org/, https://0xproject.com/, 0x Ecosystem"
0x0d8775f648430679a709e98d2b0cb6250d2887ef,65908,"https://basicattentiontoken.org/, Advertising, BAToken, BasicAttentionToken, Basic Attention Token"
0x05cf67329a262818e67c080e9d511a34d36152c0,65670,MultiSigWallet
0x6c22b815904165f3599f0a4a092d458966bd8024,64994,
0x9e2b209afc38b74b3278b4e3e2e61dcefc752bb2,64943,ICTA
